RK,NAME,,SALARY
183,Tyler Hansbrough, PF,"$3,326,235"
184,Andrei Kirilenko, SF,"$3,326,235"
185,Mike Dunleavy, SG,"$3,326,235"
186,Nerlens Noel, PF,"$3,315,120"
187,Marcus Smart, PG,"$3,283,320"
188,Alexey Shved, PG,"$3,282,056"
189,Jason Smith, PF,"$3,278,000"
190,Bojan Bogdanovic, SG,"$3,278,000"
RK,NAME,,SALARY
191,Evan Turner, SG,"$3,278,000"
192,Kemba Walker, PG,"$3,272,091"
193,Carlos Boozer, PF,"$3,251,000"
194,Gary Neal, PG,"$3,250,000"
195,Carlos Delfino, SG,"$3,250,000"
196,Anthony Morrow, SG,"$3,200,000"
197,Dorell Wright, SF,"$3,150,000"
198,Quincy Pondexter, SF,"$3,146,068"
199,Chris Copeland, F,"$3,135,000"
200,Klay Thompson, SG,"$3,075,880"
201,Harrison Barnes, SF,"$3,049,920"
202,Alec Burks, SG,"$3,034,356"
203,Ben McLemore, SG,"$3,026,280"
204,Joel Freeland, C,"$3,013,512"
205,Kosta Koufos, C,"$3,000,000"
206,Randy Foye, SG,"$3,000,000"
207,Anthony Tolliver, PF,"$3,000,000"
208,D.J. Augustin, PG,"$3,000,000"
209,Julius Randle, PF,"$2,997,360"
210,Markieff Morris, PF,"$2,989,239"
RK,NAME,,SALARY
211,Furkan Aldemir, PF,"$2,963,232"
212,Marcus Morris, PF,"$2,943,221"
213,Will Bynum, PG,"$2,915,908"
214,Kawhi Leonard, SF,"$2,894,059"
215,Marco Belinelli, SG,"$2,873,750"
216,Terrence Ross, SF,"$2,793,960"
217,Kentavious Caldwell-Pope, SG,"$2,772,480"
218,Nikola Vucevic, C,"$2,751,260"
219,Luke Ridnour, PG,"$2,750,000"
220,Nik Stauskas, SG,"$2,745,840"
RK,NAME,,SALARY
221,Udonis Haslem, PF,"$2,732,000"
222,Brian Roberts, PG,"$2,732,000"
223,Mike Miller, SG,"$2,732,000"
224,Kirk Hinrich, SG,"$2,732,000"
225,Iman Shumpert, SG,"$2,616,975"
226,Andre Drummond, C,"$2,568,360"
227,Trey Burke, PG,"$2,548,560"
228,Noah Vonleh, PF,"$2,524,200"
229,James Johnson, PF,"$2,500,000"
230,DeMarre Carroll, SF,"$2,442,455"
RK,NAME,,SALARY
231,Austin Rivers, PG,"$2,439,840"
232,Shelvin Mack, PG,"$2,433,333"
233,C.J. McCollum, SG,"$2,421,000"
234,Elfrid Payton, PG,"$2,397,840"
235,Tobias Harris, SF,"$2,380,594"
236,Meyers Leonard, PF,"$2,317,920"
237,Michael Carter-Williams, PG,"$2,300,040"
238,Doug McDermott, SF,"$2,277,960"
239,Kenneth Faried, PF,"$2,249,768"
240,Nick Collison, PF,"$2,242,003"
241,Brendan Haywood, C,"$2,213,668"
242,Reggie Jackson, PG,"$2,204,369"
243,Jeremy Lamb, SG,"$2,202,000"
244,Steven Adams, C,"$2,184,960"
245,Vitor Faverani, C,"$2,090,000"
246,Ramon Sessions, PG,"$2,077,000"
247,Jordan Farmar, PG,"$2,077,000"
248,C.J. Watson, PG,"$2,077,000"
249,Danny Granger, SF,"$2,077,000"
250,Josh Smith, C,"$2,077,000"
RK,NAME,,SALARY
251,Steve Blake, PG,"$2,077,000"
252,Kelly Olynyk, C,"$2,075,760"
253,Zach LaVine, PG,"$2,055,840"
254,Norris Cole, PG,"$2,038,206"
255,Cory Joseph, PG,"$2,023,261"
256,Jimmy Butler, SG,"$2,008,748"
257,John Salmons, SF,"$2,000,000"
258,DeJuan Blair, C,"$2,000,000"
259,Kent Bazemore, SF,"$2,000,000"
260,John Henson, PF,"$1,987,320"
RK,NAME,,SALARY
261,Shabazz Muhammad, SF,"$1,971,960"
262,T.J. Warren, SF,"$1,953,120"
263,Maurice Harkless, SF,"$1,887,840"
264,Giannis Antetokounmpo, SF,"$1,873,200"
265,Adreian Payne, PF,"$1,855,320"
266,Jeff Ayres, PF,"$1,828,750"
267,Anthony Randolph, SF,"$1,825,359"
268,Jeremy Evans, SF,"$1,794,871"
269,Joffrey Lauvergne, C,"$1,790,281"
270,Reggie Evans, C,"$1,768,653"
RK,NAME,,SALARY
271,Lucas Nogueira, C,"$1,762,680"
272,Jusuf Nurkic, C,"$1,762,680"
273,Luigi Datome, SF,"$1,750,000"
274,Zoran Dragic, SG,"$1,706,225"
275,Tyler Zeller, C,"$1,703,760"
276,Dennis Schroder, PG,"$1,690,680"
277,James Young, SG,"$1,674,480"
278,Pablo Prigioni, PG,"$1,662,961"
279,Ryan Kelly, PF,"$1,650,000"
